id,x,y,deg
001_0,s-48.19608619421423867379,s58.77098461521422478882,s45.00000000000000000000
002_0,s0.35463541879775800636,s0.79571088234667497474,s203.62937773055205070705
002_1,s0.04644127955519899986,s0.27279236773594400800,s23.62937773055205070705
003_0,s0.64171464022907498403,s1.18045856661338111060,s155.13405193710082130565
003_1,s1.23405569584216001644,s1.27599950066375900093,s66.37062226934300213088
003_2,s1.12365581614030096702,s0.78110181599256300888,s111.12513229289299943048
004_0,s-0.31535435464589078869,s-0.73210998173171626391,s336.37062097548323436058
004_1,s-0.32474777107019009437,s0.13210998173171620285,s156.37062097548323436058
004_2,s0.31535436686293788489,s0.13210998056447920135,s156.37062001115214115998
004_3,s0.32474777107019009437,s-0.73210998151727235683,s336.37062001115327802836
005_0,s0.46061913479186650244,s-0.67629861464130058835,s112.57354076900067241240
005_1,s0.06443783204938349773,s-0.45922158328874745914,s66.35880454137895867461
005_2,s0.33284896427323151791,s0.18619139038947246645,s203.61755707631553491410
005_3,s-0.46061913479186650244,s0.12355316028008245244,s293.62937773062918722644
005_4,s-0.44895060739050152154,s-0.78619139038947238873,s23.62937773245634076602
006_0,s-0.11136822747310069770,s-0.37943724869952311085,s338.87232533578344373382
006_1,s-0.50433676086150380780,s0.10003140017782449767,s293.62937716061992432515
006_2,s-0.39697456765226818431,s-0.74854489246682631709,s23.62937794850711270556
006_3,s0.50433605105231671395,s0.20709700407262410238,s158.87232585820561325818
006_4,s0.50433676086150380780,s-0.68215234932760959730,s338.87200690753729759308
006_5,s-0.03735090325436340314,s-0.80709700407262408017,s246.37062228185163803573
007_0,s-0.12530101842013868785,s-0.48312145145620249975,s213.52145235219859387144
007_1,s0.62343155092752322588,s0.18743132196552159119,s65.19637495686265538097
007_2,s-0.46334395876351458510,s-0.42803709084086200010,s27.81665522442671090175
007_3,s-0.62343155092752322588,s-0.81566327502327162779,s252.82993415137366355339
007_4,s-0.36770732255793797671,s0.31115192823372928022,s207.81665749234980467008
007_5,s0.51578997908539181427,s-0.91115192823372936903,s336.37062146491643943591
007_6,s0.40552106102672441645,s-0.37057870194419167964,s37.54646123843616578597
008_0,s-0.55730513797242275942,s-0.92683633381229946213,s23.62874580311932959376
008_1,s-0.20658320721965450772,s-0.85526617112508529495,s293.62961582102411739470
