id,x,y,deg
001_0,s0.00000000000000000,s-0.30000000000000004,s45.00000000000000000
002_0,s0.35463541879775801,s0.79571088234667497,s203.62937773055205071
002_1,s0.04644127955519900,s0.27279236773594401,s23.62937773055205071
003_0,s-0.29617052780654252,s-0.14809209171477986,s155.13405193710082131
003_1,s0.29617052780654252,s-0.05255115766440196,s66.37062226934300213
003_2,s0.18577064810468341,s-0.54744884233559810,s111.12513229289299943
004_0,s-0.32474777070082472,s0.13210998121243930,s156.37062098320370751
004_1,s0.31535436775923759,s0.13210998140303790,s156.37062002666345961
004_2,s0.32474777070082467,s-0.73210998140303785,s336.37062002666198168
004_3,s-0.31535435309633353,s-0.73210998121202575,s336.37062098318347125
005_0,s-0.46061915624749056,s0.15487227428677400,s293.62937773067665148
005_1,s-0.44895058388203996,s-0.75487227428677406,s23.62937773088106042
005_2,s0.46061915624749061,s-0.64497949893850481,s112.57354093978801757
005_3,s0.06443785434946533,s-0.42790246484193861,s66.35880461837189159
005_4,s0.24372303506066334,s0.13767217612455088,s212.45676008273142088
006_0,s-0.50433637838737244,s0.10003134943239503,s293.62937958785221326
006_1,s-0.11136785062612785,s-0.37943729627191047,s338.87232937166049851
006_2,s0.50433637838737244,s-0.68215146173947361,s338.87232937139833666
006_3,s-0.39697419033167075,s-0.74854494548479811,s23.62937773067540093
006_4,s-0.03735034085001496,s-0.80709697707506001,s246.37062226939190168
006_5,s0.50433637838638412,s0.20709697707506003,s158.87232937172359470
007_0,s0.40553011050708554,s-0.37059056849220745,s37.55982852070303579
007_1,s-0.62343145632258146,s-0.81566510107397550,s252.83055096917564697
007_2,s0.62343145632258146,s0.18742976785042736,s65.19648390803757820
007_3,s0.51578982055529388,s-0.91114864623800840,s336.37062226948978605
007_4,s-0.36770729384193918,s0.31114864623800836,s207.81665840025857506
007_5,s-0.12530069878086927,s-0.48312458220532267,s213.52146451659018567
007_6,s-0.46334384289324176,s-0.42804039954851703,s27.81665840018672498
008_0,s-0.24956222614494675,s-0.41109160515643761,s51.76673793485906572
008_1,s0.66466755124338306,s-0.85730535561658561,s113.62937912381312344
008_2,s-0.66466755124338328,s0.25730528992796087,s293.62938261640522342
008_3,s0.55730536328021141,s0.32683691587760361,s203.62937773072678738
008_4,s0.24956222930049324,s-0.18890842312855421,s231.76673764991176085
008_5,s-0.20658885723898585,s-0.85526211291679577,s293.62937912385177697
008_6,s0.20658887764803893,s0.25526212152758998,s113.62938261646428373
008_7,s-0.55730536258309260,s-0.92683691587760353,s23.62937773065868896
009_0,s0.10225184357328324,s-0.33220120366832828,s154.94477968572005011
009_1,s0.64301731051960387,s-0.46098369926027849,s205.52986061075534963
009_2,s-0.54569638804208831,s-0.96375303406771484,s24.62513105061918850
009_3,s-0.66714739135138934,s0.32362982149926828,s296.80607031081490277
