id,x,y,deg
001_0,s-48.19608619421424577922,s58.77098461521422478882,s45.00000000000000000000
002_0,s0.15409706962136149322,s-0.03854074269477349851,s203.62937773064845714543
002_1,s-0.15409706962136149322,s-0.56145925730522661112,s23.62937773064970414794
003_0,s1.12365581614030096702,s0.78110181599256300888,s111.12513229289299943048
003_1,s1.23405569584216001644,s1.27599950066375900093,s66.37062226934300213088
003_2,s0.64171464022907498403,s1.18045856661338111060,s155.13405193710082130565
004_0,s-0.32474778958570121867,s0.13210997810115449047,s156.37062214326604703274
004_1,s0.31535434618768770632,s0.13210997807189620024,s156.37062227271039205334
004_2,s0.32474778958570127418,s-0.73210997807598787723,s336.37062226937382547476
004_3,s-0.31535434818687418934,s-0.73210997810115463480,s336.37062214316404151759
005_0,s-0.46061913454381542277,s0.13573672999540178918,s293.62937773066096269758
005_1,s-0.44895057796280762874,s-0.77400779547224685118,s23.62937773990699952265
005_2,s0.46061913454381547828,s-0.66411494151730887658,s112.57350741803188043377
005_3,s0.06443784114945047548,s-0.44703805124610090926,s66.35879843600491767575
005_4,s0.30843818627434516078,s0.17400779547224667909,s206.80356940641149776638
006_0,s-0.50433637770183969984,s0.10003136987028340976,s293.62937773068637170581
006_1,s-0.11136787660626039365,s-0.37943728843436058673,s338.87232686886869714726
006_2,s0.50433637770183969984,s-0.68215144779175629353,s338.87232684679247540771
006_3,s-0.39697419001772449310,s-0.74854494445547170578,s23.62937773065211288781
006_4,s-0.03735033552561679848,s-0.80709697384952194810,s246.37062226934196473849
006_5,s0.50433637767963279686,s0.20709697384952199806,s158.87232686334797904237
007_0,s0.40552982837124107451,s-0.37059057339018358634,s37.55982717557998284974
007_1,s-0.62343152287156788915,s-0.81566614472530529767,s252.83010417169222705525
007_2,s0.62343152287156788915,s0.18742974940977333298,s65.19650180383533211170
007_3,s0.51578989197716551551,s-0.91114838159555444630,s336.37062226795256947298
007_4,s-0.36770719950405311716,s0.31114838159555452402,s207.81661724579774386257
007_5,s-0.12530084285991541226,s-0.48312510429607807838,s213.52151563208101947566
